category,file,status,error,mean_similarity,min_similarity,max_similarity,std_similarity,ref_to_hyp_mean,hyp_to_ref_mean,num_chunks_ref,num_chunks_hyp
1.original,30_2026_NQ-HDND_709429.txt,ok,,0.816525,0.699913,0.939409,0.048289,0.886487,0.882449,8,8
1.original,31_2024_QH15_523642.txt,ok,,0.826098,0.625361,0.932018,0.028900,0.875314,0.872539,586,583
1.original,31_2026_NQ-HDND_709428.txt,ok,,0.812572,0.614498,0.917504,0.075438,0.880408,0.881667,12,12
1.original,32_2024_QH15_m_577203.txt,ok,,0.835192,0.562183,0.936371,0.028397,0.889887,0.877614,322,322
1.original,32_2026_NQ-HDND_709422.txt,ok,,0.840453,0.735691,0.946370,0.049053,0.907681,0.900108,6,6
1.original,33_2024_QH15_545181.txt,ok,,0.839493,0.629260,0.912862,0.028095,0.881041,0.873479,81,81
1.original,33_2026_NQ-HDND_709423.txt,ok,,0.804763,0.662269,0.925678,0.061617,0.879242,0.880103,9,9
1.original,34_2024_QH15_580434.txt,ok,,0.851635,0.713091,0.950487,0.029046,0.907491,0.890952,146,146
1.original,34_NQ-HDND_709431.txt,ok,,0.827302,0.713072,0.931903,0.059851,0.907391,0.896614,4,4
1.original,3579_QD-UBND_708038.txt,ok,,0.844748,0.655433,0.906093,0.041315,0.888146,0.878392,22,22
1.original,35_2024_QH15_588811.txt,ok,,0.842604,0.732132,0.916314,0.024305,0.886466,0.880267,163,163
1.original,35_NQ-HDND_707110.txt,ok,,0.874991,0.652198,0.956149,0.041438,0.924627,0.926967,117,100
1.original,36_2024_QH15_444251.txt,ok,,0.822222,0.548131,0.939032,0.040516,0.886454,0.878924,182,182
1.original,36_NQ-HDND_707610.txt,ok,,0.837784,0.623056,0.933997,0.049001,0.899249,0.897912,23,23
1.original,37_2024_QH15_588810.txt,ok,,0.825835,0.546700,0.906789,0.042528,0.870965,0.873051,69,69
1.original,38_2024_QH15_555033.txt,ok,,0.860192,0.711986,0.911921,0.019575,0.895447,0.890548,120,120
1.original,38_2026_QD-UBND_708135.txt,ok,,0.799344,0.567215,0.905498,0.069702,0.877556,0.872245,18,18
1.original,39_2024_QH15_575158.txt,ok,,0.844019,0.746526,0.919991,0.023018,0.887260,0.882215,172,172
1.original,40_2024_QH15_564046.txt,ok,,0.826493,0.725760,0.883748,0.026626,0.868579,0.858150,17,17
1.original,40_NQ-HDND_707111.txt,ok,,0.857600,0.659546,0.933007,0.037009,0.906367,0.904957,52,53
1.original,41_2019_QH14_387991.txt,ok,,0.850456,0.704550,0.930314,0.027873,0.902597,0.894168,344,344
1.original,41_2024_QH15_557190.txt,ok,,0.813392,0.606936,0.929247,0.032483,0.871149,0.863405,207,207
1.original,42_NQ-HDND_707609.txt,ok,,0.825888,0.688276,0.943779,0.048241,0.899025,0.896943,11,11
1.original,43_2019_QH14_367665.txt,ok,,0.840822,0.346631,0.916543,0.049958,0.885197,0.879146,112,111
1.original,43_2024_QH15_612195.txt,ok,,0.668840,0.326714,0.880940,0.178528,0.815195,0.766070,5,5
1.original,44_2024_QH15_583839.txt,ok,,0.820941,0.617044,0.892362,0.037236,0.869057,0.866301,71,71
1.original,44_NQ-HDND_707608.txt,ok,,0.820982,0.707068,0.960839,0.080050,0.918387,0.918387,4,4
1.original,45_2019_QH14_333670.txt,ok,,0.835875,0.488426,0.902056,0.033051,0.873263,0.878473,209,208
1.original,45_2024_QH15_583769.txt,ok,,0.848918,0.683906,0.922807,0.024718,0.895779,0.886703,196,195
1.original,45_NQ-HDND_707607.txt,ok,,0.812309,0.726150,0.910641,0.072348,0.904450,0.904450,3,3
1.original,46_2019_QH14_398157.txt,ok,,0.847427,0.648159,0.911591,0.035059,0.886194,0.883944,57,57
1.original,46_2024_QH15_524982.txt,ok,,0.831331,0.682291,0.943554,0.025780,0.879253,0.871024,117,117
1.original,46_2026_QD-UBND_708335.txt,ok,,0.886026,0.842852,0.946873,0.035178,0.924397,0.924397,3,3
1.original,46_NQ-HDND_707606.txt,ok,,0.858682,0.693323,0.933955,0.033472,0.900002,0.891085,44,44
1.original,47_2019_QH14_411945.txt,ok,,0.828035,0.697815,0.912054,0.040711,0.877002,0.877759,28,28
1.original,47_2024_QH15_583645.txt,ok,,0.845597,0.588728,0.906877,0.037323,0.888214,0.886619,121,121
1.original,47_NQ-HDND_707603.txt,ok,,0.819947,0.591981,0.925371,0.044576,0.885015,0.883069,73,73
1.original,48_2019_QH14_366794.txt,ok,,0.841934,0.653311,0.905659,0.030529,0.885437,0.878635,65,65
1.original,48_2024_QH15_556390.txt,ok,,0.841026,0.639172,0.906683,0.033506,0.878786,0.883248,49,49
1.original,49_2019_QH14_402073.txt,ok,,0.822306,0.675132,0.890499,0.027339,0.864102,0.861673,75,75
1.original,49_2024_QH15_548487.txt,ok,,0.846444,0.491675,0.919154,0.048196,0.889442,0.891638,61,60
1.original,50_2019_QH14_411944.txt,ok,,0.701563,0.481719,0.906705,0.148759,0.825262,0.825262,4,4
1.original,50_2024_QH15_445264.txt,ok,,0.854884,0.669026,0.928239,0.029325,0.890768,0.887016,55,55
1.original,51_2019_QH14_422706.txt,ok,,0.810848,0.632641,0.922981,0.040852,0.868649,0.857714,20,20
1.original,51_2024_QH15_m_505750.txt,ok,,0.812125,0.573710,0.923888,0.041945,0.869388,0.865594,58,58
1.original,52_2019_QH14_405729.txt,ok,,0.823456,0.690688,0.896605,0.034594,0.872947,0.863106,36,36
1.original,52_2024_QH15_630032.txt,ok,,0.816627,0.683582,0.946479,0.044565,0.871764,0.873645,17,17
1.original,53_2019_QH14_351558.txt,ok,,0.850712,0.699646,0.909367,0.027738,0.887822,0.878813,47,47
1.original,53_2024_QH15_m_607439.txt,ok,,0.833183,0.661581,0.903459,0.027515,0.875005,0.870039,69,69
1.original,54_2019_QH14_399763.txt,ok,,0.847626,0.654692,0.917293,0.024439,0.893623,0.882604,233,233
1.original,54_2024_QH15_578531.txt,ok,,0.850272,0.730828,0.925760,0.023599,0.891567,0.888195,191,191
1.original,54_KH-UBND_708180.txt,ok,,0.831535,0.697730,0.917442,0.037647,0.889750,0.883999,37,37
1.original,55_2019_QH14_410870.txt,ok,,0.815380,0.645163,0.888901,0.041281,0.855880,0.860948,23,23
1.original,55_2024_QH15_621347.txt,ok,,0.832117,0.686381,0.912116,0.030144,0.878489,0.876237,97,97
